tag,threshold,balanced_accuracy,positive_rate
ensemble_avg_top3,0.10899999999999992,0.502127659574468,0.9985294117647059
ensemble_avg_top3,0.10999999999999992,0.502127659574468,0.9985294117647059
ensemble_avg_top3,0.11099999999999992,0.502127659574468,0.9985294117647059
ensemble_avg_top3,0.11199999999999992,0.502127659574468,0.9985294117647059
ensemble_avg_top3,0.1129999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.11399999999999991,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.11499999999999991,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.11599999999999991,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.11699999999999991,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.11799999999999991,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.11899999999999991,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.11999999999999991,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.12099999999999991,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1219999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1229999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1239999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1249999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1259999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1269999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1279999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1289999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1299999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1309999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1319999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1329999999999999,0.5010040640688501,0.9970588235294118
ensemble_avg_top3,0.1339999999999999,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.1349999999999999,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.1359999999999999,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.1369999999999999,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.1379999999999999,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.1389999999999999,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.1399999999999999,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.1409999999999999,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.14199999999999988,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.14299999999999988,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.14399999999999988,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.14499999999999988,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.14599999999999988,0.5031317236433182,0.9955882352941177
ensemble_avg_top3,0.14699999999999988,0.5052593832177863,0.9941176470588236
ensemble_avg_top3,0.14799999999999988,0.5052593832177863,0.9941176470588236
ensemble_avg_top3,0.14899999999999988,0.5073870427922543,0.9926470588235294
ensemble_avg_top3,0.14999999999999988,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.15099999999999988,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.15199999999999989,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.15299999999999989,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.1539999999999999,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.1549999999999999,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.1559999999999999,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.15699999999999986,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.15799999999999986,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.15899999999999986,0.5095147023667225,0.9911764705882353
ensemble_avg_top3,0.15999999999999986,0.5116423619411905,0.9897058823529412
ensemble_avg_top3,0.16099999999999987,0.5105187664355726,0.9882352941176471
ensemble_avg_top3,0.16199999999999987,0.5105187664355726,0.9882352941176471
ensemble_avg_top3,0.16299999999999987,0.5105187664355726,0.9882352941176471
ensemble_avg_top3,0.16399999999999987,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.16499999999999987,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.16599999999999987,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.16699999999999987,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.16799999999999987,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.16899999999999987,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.16999999999999987,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.17099999999999987,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.17199999999999988,0.5093951709299546,0.986764705882353
ensemble_avg_top3,0.17299999999999988,0.5115228305044227,0.9852941176470589
ensemble_avg_top3,0.17399999999999985,0.5136504900788907,0.9838235294117647
ensemble_avg_top3,0.17499999999999985,0.5136504900788907,0.9838235294117647
ensemble_avg_top3,0.17599999999999985,0.5157781496533589,0.9823529411764705
ensemble_avg_top3,0.17699999999999985,0.5146545541477409,0.9808823529411764
ensemble_avg_top3,0.17799999999999985,0.5146545541477409,0.9808823529411764
ensemble_avg_top3,0.17899999999999985,0.5146545541477409,0.9808823529411764
ensemble_avg_top3,0.17999999999999985,0.5146545541477409,0.9808823529411764
ensemble_avg_top3,0.18099999999999986,0.5146545541477409,0.9808823529411764
ensemble_avg_top3,0.18199999999999986,0.5146545541477409,0.9808823529411764
ensemble_avg_top3,0.18299999999999986,0.5146545541477409,0.9808823529411764
ensemble_avg_top3,0.18399999999999986,0.5135309586421228,0.9794117647058823
ensemble_avg_top3,0.18499999999999986,0.5135309586421228,0.9794117647058823
ensemble_avg_top3,0.18599999999999986,0.515658618216591,0.9779411764705882
ensemble_avg_top3,0.18699999999999986,0.515658618216591,0.9779411764705882
ensemble_avg_top3,0.18799999999999986,0.517786277791059,0.9764705882352941
ensemble_avg_top3,0.18899999999999983,0.517786277791059,0.9764705882352941
ensemble_avg_top3,0.18999999999999984,0.5199139373655272,0.975
ensemble_avg_top3,0.19099999999999984,0.5199139373655272,0.975
ensemble_avg_top3,0.19199999999999984,0.5199139373655272,0.975
ensemble_avg_top3,0.19299999999999984,0.5220415969399952,0.9735294117647059
ensemble_avg_top3,0.19399999999999984,0.5220415969399952,0.9735294117647059
ensemble_avg_top3,0.19499999999999984,0.5241692565144633,0.9720588235294118
ensemble_avg_top3,0.19599999999999984,0.5241692565144633,0.9720588235294118
ensemble_avg_top3,0.19699999999999984,0.5241692565144633,0.9720588235294118
ensemble_avg_top3,0.19799999999999984,0.5241692565144633,0.9720588235294118
ensemble_avg_top3,0.19899999999999984,0.5262969160889314,0.9705882352941176
ensemble_avg_top3,0.19999999999999984,0.5262969160889314,0.9705882352941176
