name,model_family,feature_set,cv_strategy,n_folds,oof_bal_acc,best_threshold,test_pos_rate,notes
ensemble_avg_top3,ensemble,mixed,from_base_oof,0,0.7789624671288549,0.6109999999999995,0.3409090909090909,top3
ensemble_stacking_lr,ensemble,mixed,from_base_oof,0,0.7783169973703083,0.5799999999999995,0.36363636363636365,stacking
ensemble_avg_top5,ensemble,mixed,from_base_oof,0,0.7781496533588333,0.5159999999999996,0.38636363636363635,top5
ensemble_threshold_vote,ensemble,mixed,from_base_oof,0,0.7779823093473583,0.3619999999999997,0.38636363636363635,vote
logreg_full,sklearn_ohe,full,skf5_all_seeds,25,0.7748266794166866,0.6769999999999994,0.36363636363636365,
ensemble_weighted,ensemble,mixed,from_base_oof,0,0.7742529285202009,0.5359999999999996,0.36363636363636365,weighted_by_oof
catboost_B_2_full_allseeds,catboost,full,skf5_all_seeds,25,0.7707147979918718,0.4549999999999996,0.4090909090909091,
catboost_A6_no_shift,catboost,no_shift,skf5_seed_42,5,0.7698541716471432,0.6409999999999995,0.3409090909090909,
logreg_target_encoding_full,sklearn_te,full,skf5_all_seeds,25,0.7683958881185752,0.5469999999999996,0.36363636363636365,
catboost_B_1_no_shift_allseeds,catboost,no_shift,skf5_all_seeds,25,0.7677982309347358,0.5069999999999996,0.36363636363636365,
catboost_B_6_no_shift_allseeds,catboost,no_shift,skf5_all_seeds,25,0.7671527611761892,0.5279999999999996,0.36363636363636365,
histgb_full,sklearn_ohe,full,skf5_seed_42,5,0.7669615108773608,0.7279999999999994,0.3409090909090909,
catboost_A2_full,catboost,full,skf5_seed_42,5,0.766841979440593,0.5829999999999995,0.3409090909090909,
catboost_A1_no_shift,catboost,no_shift,skf5_seed_42,5,0.7643796318431748,0.46099999999999963,0.38636363636363635,
catboost_A2_no_shift,catboost,no_shift,skf5_seed_42,5,0.7637102557972747,0.5929999999999995,0.3409090909090909,
catboost_A1_full,catboost,full,skf5_seed_42,5,0.7636624432225675,0.5029999999999996,0.36363636363636365,
catboost_A4_full,catboost,full,skf5_seed_42,5,0.7623236911307674,0.46399999999999963,0.4090909090909091,
catboost_A6_full,catboost,full,skf5_seed_42,5,0.7617499402342816,0.6709999999999995,0.3409090909090909,
catboost_B_2_full_advweighted,catboost,full,skf5_all_seeds,25,0.7613435333492709,0.6439999999999995,0.36363636363636365,weighted
logreg_no_shift,sklearn_ohe,no_shift,skf5_all_seeds,25,0.7611761893377958,0.6179999999999994,0.3409090909090909,
catboost_A3_no_shift,catboost,no_shift,skf5_seed_42,5,0.7609371264642601,0.5429999999999996,0.36363636363636365,
catboost_A3_full,catboost,full,skf5_seed_42,5,0.7595983743724599,0.4749999999999996,0.36363636363636365,
catboost_A4_no_shift,catboost,no_shift,skf5_seed_42,5,0.7582596222806598,0.6509999999999995,0.3409090909090909,
catboost_A5_full,catboost,full,skf5_seed_42,5,0.7580444656944776,0.5199999999999996,0.3409090909090909,
extratrees_full,sklearn_ohe,full,skf5_seed_42,5,0.7572794644991633,0.5739999999999995,0.3181818181818182,
catboost_A5_no_shift,catboost,no_shift,skf5_seed_42,5,0.7554864929476452,0.6129999999999995,0.3409090909090909,
catboost_B_1_no_shift_advweighted,catboost,no_shift,skf5_all_seeds,25,0.7553191489361701,0.6109999999999995,0.38636363636363635,weighted
catboost_B_6_no_shift_advweighted,catboost,no_shift,skf5_all_seeds,25,0.7550322734879273,0.6079999999999995,0.4090909090909091,weighted
ensemble_rank_average,ensemble,mixed,from_base_oof,0,0.7530480516375807,0.5039999999999996,0.5227272727272727,rank
logreg_probe_groupkfold5,sklearn_ohe,compact,groupkfold5,5,0.6013626583791537,0.5889999999999995,0.29545454545454547,
rf_compact,sklearn_ohe,compact,skf5_seed_42,5,0.5989720296437964,0.5649999999999995,0.36363636363636365,
catboost_A6_compact,catboost,compact,skf5_seed_42,5,0.5973464021037533,0.4989999999999996,0.5,
catboost_A3_compact,catboost,compact,skf5_seed_42,5,0.5967009323452068,0.4979999999999996,0.4318181818181818,
logreg_probe_skf10,sklearn_ohe,compact,skf10_seed_42,10,0.5960793688740139,0.6249999999999994,0.18181818181818182,
logreg_probe_repeated5x5,sklearn_ohe,compact,repeated_stratified_5x5,25,0.5951470236672245,0.5949999999999995,0.2727272727272727,
logreg_compact,sklearn_ohe,compact,skf5_all_seeds,25,0.5934496772651208,0.5699999999999995,0.3409090909090909,
catboost_A5_compact,catboost,compact,skf5_seed_42,5,0.5926607697824527,0.46799999999999964,0.5681818181818182,
catboost_A4_compact,catboost,compact,skf5_seed_42,5,0.5923738943342098,0.4709999999999996,0.5454545454545454,
catboost_A1_compact,catboost,compact,skf5_seed_42,5,0.5872818551278987,0.5629999999999995,0.13636363636363635,
catboost_A2_compact,catboost,compact,skf5_seed_42,5,0.5845565383695912,0.4719999999999996,0.5681818181818182,
svm_rbf_compact,sklearn_ohe,compact,skf5_seed_42,5,0.5531675830743485,0.6579999999999995,0.4318181818181818,
knn_compact,sklearn_ohe,compact,skf5_seed_42,5,0.5326798948123357,0.7599999999999993,0.06818181818181818,
