iter	Logloss
0	0.6513694173
1	0.617106306
2	0.5906842958
3	0.5662339592
4	0.543758257
5	0.5258257504
6	0.5193754315
7	0.5040738634
8	0.4884300164
9	0.4781428072
10	0.4675395521
11	0.459388973
12	0.4564129326
13	0.4531603601
14	0.4501734736
15	0.4423634318
16	0.4394887663
17	0.4334428795
18	0.4306751498
19	0.4278931163
20	0.426211878
21	0.4206695699
22	0.4172501936
23	0.4143478825
24	0.4125118054
25	0.4107923028
26	0.4088676103
27	0.4075515435
28	0.4029694826
29	0.398893364
30	0.3960356805
31	0.3946689295
32	0.3907845259
33	0.3866775676
34	0.3847870355
35	0.382532668
36	0.3813523164
37	0.3784089435
38	0.3774531416
39	0.3761693381
40	0.3735626054
41	0.3718622591
42	0.3695808872
43	0.367767534
44	0.3659367729
45	0.3650650951
46	0.3632879583
47	0.3610814959
48	0.3587317999
49	0.357420629
50	0.3571094893
51	0.3549201233
52	0.3534265817
53	0.3509029771
54	0.3490864773
55	0.3485339869
56	0.3464777238
57	0.3450422841
58	0.3437202639
59	0.3429175543
60	0.341984233
61	0.3402330475
62	0.3398113701
63	0.3384597242
64	0.336601172
65	0.3365107762
66	0.3352515157
67	0.3342003956
68	0.3308332966
69	0.3298362424
70	0.3297169173
71	0.3295298811
72	0.3286909102
73	0.3281153741
74	0.3278562402
75	0.3276315085
76	0.3271689917
77	0.325987244
78	0.3253795433
79	0.3238084619
80	0.3230689665
81	0.3223749679
82	0.3212967541
83	0.3206862831
84	0.3200129303
85	0.3189218796
86	0.3184734733
87	0.3167537895
88	0.3161967099
89	0.3153097122
90	0.3135753564
91	0.3119572586
92	0.3113333201
93	0.311210552
94	0.3102566777
95	0.3096518347
96	0.3085407689
97	0.307343777
98	0.3061942047
99	0.3056398739
100	0.3046039167
101	0.3029124582
102	0.3022527476
103	0.3015092988
104	0.3008500862
105	0.299987074
106	0.2990852171
107	0.2985912958
108	0.2979181244
109	0.297118737
110	0.2969560111
111	0.2963207563
112	0.2952086423
113	0.2950279436
114	0.2939790356
115	0.2935940517
116	0.2919383431
117	0.2910885681
118	0.2904938023
119	0.2893859447
120	0.2891065077
121	0.2889406202
122	0.28880454
123	0.2876577993
124	0.2872749113
125	0.2855828062
126	0.2845668763
127	0.2833114812
128	0.2832061578
129	0.281712715
130	0.2806879012
131	0.2804870678
132	0.2802652885
133	0.2800629364
134	0.2785104994
135	0.2768534661
136	0.2764489406
137	0.2747955644
138	0.2732956466
139	0.270980095
140	0.270678966
141	0.2704712152
142	0.2697388157
143	0.2688877745
144	0.2671260843
145	0.266723088
146	0.2660567685
147	0.2645521713
148	0.263500413
149	0.2631101624
150	0.2625058975
151	0.261451784
152	0.2609109558
153	0.259889832
154	0.2595070442
155	0.2587305866
156	0.257501106
157	0.2572593772
158	0.2563486675
159	0.2554073522
160	0.2550698162
161	0.2548084955
