candidate_name,method,threshold,oof_bal_acc_proxy,test_positive_rate,changed_vs_anchor,diff_pct_vs_anchor,risk_category,note,file_path
submission_thr_0.914_pos_0.295,threshold_sweep,0.914,0.6937365527133637,0.29545454545454547,2,0.045454545454545456,close_1_5pct,global+local_threshold_grid,stage3_submissions/submission_thr_0.914_pos_0.295.csv
submission_thr_0.920_pos_0.273,threshold_sweep,0.92,0.6891226392541239,0.2727272727272727,3,0.06818181818181818,medium_5_12pct,global+local_threshold_grid,stage3_submissions/submission_thr_0.920_pos_0.273.csv
submission_thr_0.922_pos_0.250,threshold_sweep,0.922,0.6878795123117379,0.25,4,0.09090909090909091,medium_5_12pct,global+local_threshold_grid,stage3_submissions/submission_thr_0.922_pos_0.250.csv
submission_thr_0.928_pos_0.227,threshold_sweep,0.928,0.6732727707387043,0.22727272727272727,5,0.11363636363636363,medium_5_12pct,global+local_threshold_grid,stage3_submissions/submission_thr_0.928_pos_0.227.csv
submission_thr_0.934_pos_0.205,threshold_sweep,0.934,0.6631604111881425,0.20454545454545456,6,0.13636363636363635,aggressive_12_25pct,global+local_threshold_grid,stage3_submissions/submission_thr_0.934_pos_0.205.csv
submission_thr_0.938_pos_0.159,threshold_sweep,0.9380000000000001,0.6529285202008128,0.1590909090909091,8,0.18181818181818182,aggressive_12_25pct,global+local_threshold_grid,stage3_submissions/submission_thr_0.938_pos_0.159.csv
submission_thr_0.942_pos_0.136,threshold_sweep,0.9420000000000001,0.6349509921109252,0.13636363636363635,9,0.20454545454545456,aggressive_12_25pct,global+local_threshold_grid,stage3_submissions/submission_thr_0.942_pos_0.136.csv
submission_thr_0.944_pos_0.091,threshold_sweep,0.9440000000000001,0.6248386325603634,0.09090909090909091,11,0.25,aggressive_12_25pct,global+local_threshold_grid,stage3_submissions/submission_thr_0.944_pos_0.091.csv
submission_thr_0.946_pos_0.068,threshold_sweep,0.9460000000000001,0.6203442505378914,0.06818181818181818,12,0.2727272727272727,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.946_pos_0.068.csv
submission_thr_0.960_pos_0.023,threshold_sweep,0.96,0.5674157303370786,0.022727272727272728,14,0.3181818181818182,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.960_pos_0.023.csv
submission_thr_0.968_pos_0.000,threshold_sweep,0.968,0.5382022471910113,0.0,15,0.3409090909090909,extreme_25pct_plus,global+local_threshold_grid,stage3_submissions/submission_thr_0.968_pos_0.000.csv
