name,method,oof_bal_acc,threshold,test_pos_rate,changed_vs_anchor,diff_pct_vs_anchor,note,file_path,ranking_score
submission_blend_wavg_k3_42757045,blend_search,0.7849390389672484,0.6089999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_42757045.csv,0.7879390389672484
submission_blend_wavg_k3_3323344,blend_search,0.7849390389672484,0.5979999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_3323344.csv,0.7879390389672484
submission_blend_wavg_k3_92944181,blend_search,0.7849390389672484,0.5969999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_92944181.csv,0.7879390389672484
submission_blend_wavg_k3_78822163,blend_search,0.7848195075304805,0.6129999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_78822163.csv,0.7878195075304805
submission_blend_wavg_k2_82347763,blend_search,0.7848195075304805,0.6189999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k2_82347763.csv,0.7878195075304805
submission_blend_wavg_k3_24605039,blend_search,0.7848195075304805,0.6199999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_24605039.csv,0.7878195075304805
submission_blend_wavg_k3_67389668,blend_search,0.7848195075304805,0.6189999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_67389668.csv,0.7878195075304805
submission_blend_wavg_k3_59542580,blend_search,0.7848195075304805,0.6189999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_59542580.csv,0.7878195075304805
submission_blend_wavg_k3_67071706,blend_search,0.7848195075304805,0.6099999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_67071706.csv,0.7878195075304805
submission_blend_wavg_k3_12398207,blend_search,0.7848195075304805,0.6099999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_12398207.csv,0.7878195075304805
submission_blend_wavg_k3_54000873,blend_search,0.7848195075304805,0.6189999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_54000873.csv,0.7878195075304805
submission_blend_wavg_k3_82697418,blend_search,0.7846999760937127,0.6229999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_82697418.csv,0.7876999760937127
submission_blend_wavg_k3_84093875,blend_search,0.7846999760937127,0.6149999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_84093875.csv,0.7876999760937127
submission_blend_wavg_k3_19268621,blend_search,0.7846999760937127,0.6309999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_19268621.csv,0.7876999760937127
submission_blend_wavg_k3_65022738,blend_search,0.7846999760937127,0.6149999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_65022738.csv,0.7876999760937127
submission_blend_wavg_k4_80743901,blend_search,0.7845804446569449,0.6029999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k4_80743901.csv,0.7875804446569449
submission_blend_wavg_k4_15420786,blend_search,0.7845804446569449,0.5989999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k4_15420786.csv,0.7875804446569449
submission_blend_wavg_k4_29602476,blend_search,0.7845804446569449,0.6009999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k4_29602476.csv,0.7875804446569449
submission_blend_wavg_k4_44755493,blend_search,0.7845804446569449,0.5979999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k4_44755493.csv,0.7875804446569449
submission_blend_wavg_k4_48034804,blend_search,0.7845804446569449,0.5999999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k4_48034804.csv,0.7875804446569449
submission_blend_wavg_k3_26657995,blend_search,0.7845804446569449,0.6189999999999994,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k3_26657995.csv,0.7875804446569449
submission_blend_wavg_k3_80045420,blend_search,0.7842935692087019,0.5649999999999995,0.38636363636363635,2,0.045454545454545456,blend,stage3_submissions/submission_submission_blend_wavg_k3_80045420.csv,0.7872935692087019
avg_ensemble_avg_top3_logreg_full,blend_search,0.784174037771934,0.5919999999999995,0.38636363636363635,2,0.045454545454545456,blend,stage3_submissions/submission_avg_ensemble_avg_top3_logreg_full.csv,0.787174037771934
submission_blend_wavg_k2_8031507,blend_search,0.784174037771934,0.5919999999999995,0.38636363636363635,2,0.045454545454545456,blend,stage3_submissions/submission_submission_blend_wavg_k2_8031507.csv,0.787174037771934
submission_blend_wavg_k4_27075595,blend_search,0.784174037771934,0.5689999999999995,0.36363636363636365,1,0.022727272727272728,blend,stage3_submissions/submission_submission_blend_wavg_k4_27075595.csv,0.787174037771934
submission_blend_wavg_k4_21329219,blend_search,0.7869471671049486,0.6159999999999994,0.3409090909090909,0,0.0,blend,stage3_submissions/submission_submission_blend_wavg_k4_21329219.csv,0.7869471671049486
